scene,idk_1,actual_char,hidden_char,text,text_hira,text_kata
0,464,,,"At Ouka's suggestion, we decided to look around the\nbuilding.",,
0,448,,,"The theory was that if she was an ghost of thoughts\nthat revolved around this building, it would be better to\nsee it in person.",彼女がこの建物を軸にした想いの幻なら、実際に見た方が良いだろうという理屈だ。,彼女がこの建物を軸にした想いの幻なら、実際に見た方が良いだろうという理屈だ。
0,448,Ouka,,"""The woman who just came in is the one that lives next\ndoor, doesn't she?""",,
0,448,Michitaka,,"""Oh, her name is Chitose. I'm the grandson of the old man\nwho used to live here, and I have one\nsister... *Sigh*""",「ああ、千歳さんって言うんだ。以前住んでたじいさんの孫で妹が一人いるけど……。はぁ」,「ああ、千歳さんって言うんだ。以前住んでたじいさんの孫で妹が一人いるけど……。はぁ」
0,448,Ouka,,"""But what? And that sigh.""",「けど、なんですか？そしてそのため息も」,「けど、なんですか？そしてそのため息も」
0,448,Michitaka,,"“If you believe in Ouka-sou’s explanation, I’m speaking to the ghost I’m seeing, not what what I know.”",「…………だってコレ、桜花の説明を信じるなら、俺が俺の見てる幻に対して、知ってる事を話してる訳じゃないか」,「…………だってコレ、桜花の説明を信じるなら、俺が俺の見てる幻に対して、知ってる事を話してる訳じゃないか」
0,448,Ouka,,"“Pfffft, that sure makes me feel a little empty.”",,
0,448,Michitaka,,"""Right? So I don't want you to ask me again what you already know.""",,
0,448,Ouka,,"""Well, what about it?""",,
0,448,,,"Placing her fingers on her well-shaped chin, Ouka pondered a bit.",,
0,448,Michitaka,,"""What do you mean?""",,
0,448,Ouka,,"""I'm sure you're aware of that, but it's not enough to\nconvince anyone. Rather, if I had said something about\nmyself that not been explained to Michitaka,\nhe would have said: ...""",「そのような理屈だと理解はしていたとして、人はそれで『納得』は出来ませんよ。むしろ、私が道隆に説明をされていない自身の内容を口にしたならば……」,「そのような理屈だと理解はしていたとして、人はそれで『納得』は出来ませんよ。むしろ、私が道隆に説明をされていない自身の内容を口にしたならば……」
0,448,Ouka,,"""... I'm sure what you're thinking at that moment is\neither discomfort or creepiness, but either way it's\nnot a good feeling.""",「……その時に思うのは、きっと不愉快になるか不気味に思うか、いずれにしろ良くない感情のはずです」,「……その時に思うのは、きっと不愉快になるか不気味に思うか、いずれにしろ良くない感情のはずです」
0,448,Michitaka,,"""That's how it is.""",,
0,448,Ouka,,"""You know it in a similar way, don't you?""",,
0,448,Michitaka,,"""...""",,
0,448,,,I'm at a loss for an answer.,,
0,448,,,Ouka says something as if she see right through me.,,
0,448,,,"Even though I said to myself, ""Don't make me explain\nwhat I know again,"" but I couldn't find the words\nfor what I know about myself.",俺自身が『俺が知ってる事を改めて説明させるな』と言ったにも関わらず、俺自身にまつわる内容に対して言葉が出ない。,俺自身が『俺が知ってる事を改めて説明させるな』と言ったにも関わらず、俺自身にまつわる内容に対して言葉が出ない。
0,448,Michitaka,,"""... Okay. Let's talk normally then. I'll try my best\nto talk to Ouka as a normal girl first.""",「……わかった。普通に話をしよう。ひとまず桜花を普通の女の子として話す事に努力する」,「……わかった。普通に話をしよう。ひとまず桜花を普通の女の子として話す事に努力する」
0,448,Ouka,,"""Oh, my.""",,
0,448,Michitaka,,"""It's fine. What's so funny?""",,
0,448,Ouka,,"""No, nothing at all. It would be better for me to continue without having to explain anything else.""",「いいえ、何も。そちらの方が私も余計な説明をする事なく、話を続けられるので助かります」,「いいえ、何も。そちらの方が私も余計な説明をする事なく、話を続けられるので助かります」
0,448,Michitaka,,「そう言ってくれると助かる」,,
0,448,Ouka,,"""That's nice of you to say.""",,
0,448,Michitaka,,"""... it's nothing""",,
0,448,,,It suddenly occurred to me.,,
